data;

# Mochila: indice, peso (j,w)
set Moch :=
1 2000
2 3500
3 5000
4 6500
5 8000;

# Items: indice, valor, peso (i,v,p)
set Item :=
1 866 838
2 319 379
3 563 403
4 1003 772
5 601 84
6 638 758
7 870 290
8 1033 242
9 782 445
10 708 878
11 612 86
12 631 788
13 837 133
14 671 13
15 552 980
16 753 768
17 1097 882
18 885 999
19 387 430
20 757 981
21 827 17
22 667 731
23 525 866
24 508 813
25 910 691
26 940 125
27 939 445
28 626 433
29 1035 394
30 757 989
31 718 677
32 883 96
33 1155 974
34 774 686
35 509 488
36 846 183
37 809 381
38 561 286
39 636 456
40 832 615
41 840 478
42 720 71
43 638 83
44 512 290
45 638 308
46 651 410
47 720 612
48 662 811
49 745 891
50 632 463
51 968 803
52 738 48
53 918 932
54 541 220
55 864 93
56 195 33
57 553 193
58 757 324
59 626 452
60 719 6
61 768 159
62 536 858
63 995 636
64 856 602
65 906 670
66 696 265
67 850 667
68 584 217
69 744 442
70 1130 566
71 482 214
72 1005 386
73 348 7
74 701 888
75 1077 906
76 718 300
77 799 6
78 570 173
79 574 1
80 565 282
81 597 33
82 361 684
83 778 489
84 682 270
85 358 288
86 600 258
87 1066 796
88 693 224
89 476 2
90 962 381
91 748 529
92 559 635
93 725 275
94 711 746
95 795 485
96 417 307
97 674 840
98 300 263
99 650 250
100 880 105
101 698 443
102 508 39
103 982 419
104 737 306
105 920 230
106 599 553
107 428 188
108 594 659
109 297 745
110 762 959
111 424 844
112 757 141
113 999 909
114 939 239
115 647 624
116 814 368
117 772 524
118 488 60
119 878 854
120 632 200
121 1034 390
122 709 570
123 552 54
124 669 34
125 1039 605
126 789 932
127 959 168
128 905 621
129 1009 771
130 755 685
131 559 429
132 424 57
133 748 320
134 860 392
135 800 816
136 1146 720
137 418 725
138 789 152
139 721 49
140 757 415
141 1107 503
142 878 743
143 850 101
144 816 475
145 724 957
146 1011 640
147 742 223
148 541 36
149 766 769
150 739 859
151 536 484
152 697 602
153 494 702
154 839 867
155 417 513
156 644 585
157 756 5
158 511 16
159 913 661
160 678 79
161 698 287
162 407 13
163 815 278
164 823 791
165 743 625
166 945 170
167 1055 21 
168 472 333
169 947 371
170 386 712
171 1011 880
172 1121 360
173 886 712
174 1055 982
175 842 995
176 691 502
177 389 155
178 522 797
179 790 414
180 886 715
181 500 837
182 1018 670
183 650 629
184 663 663
185 640 352
186 909 111
187 602 810
188 590 722
189 747 483
190 465 151
191 714 203
192 615 40
193 806 284
194 829 127
195 946 979
196 965 701
197 633 439
198 912 164
199 966 841
200 525 439
201 793 889
202 728 190
203 717 562
204 681 262
205 821 490
206 892 987
207 452 15
208 561 492
209 393 550
210 524 25
211 823 207
212 658 53
213 680 2
214 814 597
215 1091 498
216 668 509
217 650 830
218 315 78
219 943 963
220 830 547
221 586 272
222 615 272
223 1039 995
224 655 458
225 645 730
226 759 770
227 890 901
228 805 689
229 1010 225
230 635 719
231 491 581
232 855 927
233 634 765
234 534 180
235 1076 783
236 276 329
237 536 183
238 644 318
239 761 145
240 893 847
241 743 798
242 410 569
243 553 24
244 797 210
245 714 455
246 734 993
247 734 259
248 773 325
249 745 927
250 378 945;
end;
